,condition_1,condition_2,score,statistic,p_value,p_value_adj
0,Psoriasis,Eczema,global_homophily,321.0,0.4958462002606573,1.487538600781972
1,Psoriasis,Eczema,global_entropy,287.0,1.0,3.0
2,Psoriasis,T-Cell Lymphoma,global_homophily,312.0,0.27988265728027595,0.8396479718408278
3,Psoriasis,T-Cell Lymphoma,global_entropy,236.0,0.5663938191598885,1.6991814574796655
4,Eczema,T-Cell Lymphoma,global_homophily,251.0,0.8325188126792755,2.497556438037827
5,Eczema,T-Cell Lymphoma,global_entropy,215.0,0.5412527246200443,1.6237581738601328
6,Psoriasis,Eczema,local_homophily_1,1153114409.0,0.9246510855949707,2.773953256784912
7,Psoriasis,Eczema,local_homophily_2,1152944385.0,0.8938577835577483,2.681573350673245
8,Psoriasis,Eczema,local_homophily_3,1151177675.0,0.5894336889891829,1.7683010669675487
9,Psoriasis,Eczema,local_homophily_4,1151816439.5,0.6944822884745991,2.0834468654237974
10,Psoriasis,Eczema,local_homophily_5,1153288417.5,0.9566837753022291,2.8700513259066875
11,Psoriasis,Eczema,local_entropy_1,1153350073.5,0.9679539077344804,2.903861723203441
12,Psoriasis,Eczema,local_entropy_2,1154516234.0,0.8196414486912104,2.458924346073631
13,Psoriasis,Eczema,local_entropy_3,1157089251.5,0.4124208556737686,1.2372625670213058
14,Psoriasis,Eczema,local_entropy_4,1155451089.0,0.6577911402522003,1.973373420756601
15,Psoriasis,Eczema,local_entropy_5,1154336969.0,0.8518282577583766,2.5554847732751296
16,Psoriasis,Eczema,egophily_1,1150676845.0,0.5109593151612644,1.532877945483793
17,Psoriasis,Eczema,egophily_2,1148964823.0,0.29436610489391934,0.883098314681758
18,Psoriasis,Eczema,egophily_3,1149790245.0,0.3905123876813934,1.1715371630441802
19,Psoriasis,Eczema,egophily_4,1150142902.0,0.43681012557237897,1.3104303767171368
20,Psoriasis,Eczema,egophily_5,1148985734.5,0.2966395124838713,0.889918537451614
21,Psoriasis,T-Cell Lymphoma,local_homophily_1,1359340948.0,0.16121970889206716,0.4836591266762015
22,Psoriasis,T-Cell Lymphoma,local_homophily_2,1360115027.5,0.21520995006004862,0.6456298501801458
